#TMY hourly data
#Site, Solcast_site_5.615612_6.401852
#Country, Nigeria
#Data Source, Solcast https://solcast.com
#Time step, 1
#Latitude, 6.4019
#Longitude, 5.6156
#Altitude, 116
#Time Zone, 0.0
Year,Month,Day,Hour,Minute,Tamb,Albedo,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,GtiFixedTilt,GtiTracking,Pw,SnowDepth,Pressure,WindDir,WindVel,Zenith
Year,Month,Day,Hour,Minute,[deg.C],[(0 - 1)],[degree],[%],[deg.C],[W/m2],[W/m2],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[cm],[mbar],[degree],[m/s],[degree]
2059,1,1,0,0,23.2,0.13,-147,0.0,19.4,0,0,0,0,0,0,3.26,0.0,999.2,250,1.6,159
2059,1,1,1,0,22.5,0.13,-126,0.0,19.4,0,0,0,0,0,0,3.25,0.0,998.9,256,1.5,149
2059,1,1,2,0,21.8,0.13,-117,0.0,19.4,0,0,0,0,0,0,3.23,0.0,998.7,264,1.3,136
2059,1,1,3,0,21.3,0.13,-113,0.0,19.4,0,0,0,0,0,0,3.2,0.0,998.8,269,1.3,122
2059,1,1,4,0,21.0,0.13,-112,0.0,19.4,0,0,0,0,0,0,3.17,0.0,999.2,272,1.3,109
2059,1,1,5,0,20.6,0.13,-113,0.0,19.4,1,0,0,1,1,1,3.13,0.0,999.6,275,1.3,95
2059,1,1,6,0,21.5,0.13,-115,0.0,19.5,63,87,18,81,86,107,3.1,0.0,1000.2,275,1.3,81
2059,1,1,7,0,23.6,0.13,-118,0.0,19.7,158,315,123,281,300,479,3.08,0.0,1000.8,270,1.1,68
2059,1,1,8,0,25.7,0.13,-124,0.0,19.9,225,481,277,503,532,695,3.05,0.0,1001.3,265,1.1,55
2059,1,1,9,0,27.7,0.13,-134,0.0,19.5,269,574,417,686,721,797,3.05,0.0,1001.4,259,0.9,43
2059,1,1,10,0,29.5,0.13,-151,0.0,18.5,295,622,514,809,847,846,3.07,0.0,1000.8,251,0.7,34
2059,1,1,11,0,31.3,0.13,-175,0.0,17.4,311,628,544,855,895,859,3.09,0.0,1000.3,235,0.5,30
2059,1,1,12,0,32.1,0.13,158,0.0,16.7,345,548,464,808,843,827,3.1,0.0,999.6,204,0.4,32
2059,1,1,13,0,32.1,0.13,139,0.2,16.3,325,496,380,705,737,777,3.11,0.0,998.8,178,0.5,40
2059,1,1,14,0,31.9,0.13,127,2.0,15.9,294,384,240,534,558,666,3.12,0.0,997.9,163,0.7,51
2059,1,1,15,0,31.1,0.13,120,0.0,16.2,196,323,147,342,362,528,3.14,0.0,997.7,164,1.0,63
2059,1,1,16,0,29.4,0.13,116,0.0,17.4,98,138,36,134,143,203,3.16,0.0,998.2,170,1.4,77
2059,1,1,17,0,27.7,0.13,113,0.0,18.5,11,6,1,12,12,11,3.18,0.0,998.7,173,1.8,90
2059,1,1,18,0,26.4,0.13,112,0.0,19.3,0,0,0,0,0,0,3.18,0.0,999.3,176,2.0,104
2059,1,1,19,0,25.5,0.13,113,0.0,19.8,0,0,0,0,0,0,3.17,0.0,1000.0,180,1.9,118
2059,1,1,20,0,24.6,0.13,115,0.0,20.2,0,0,0,0,0,0,3.16,0.0,1000.7,184,1.8,131
