Year,Month,Day,Hour,Minute,Temperature(deg.C),Albedo,Azimuth(degree),cloudopacity(%),Dew Point(deg.c),DHI(W/m2),DNI,EBH,GHI,Relative humidity(%),Snow Depth(cm),Pressure(mbar),Wind Direction(degree),Wind Speed(m/s),Zenith(degree)
,,,,,,,,,,,,,,,,,,,
2015,1,1,0,0,23.2,0.13,-147,0,19.4,0,0,0,0,79.3,0,999.2,250,1.6,159
,,,,,,,,,,,,,,,,,,,
2015,1,1,1,0,22.5,0.13,-126,0,19.4,0,0,0,0,82.6,0,998.9,256,1.5,149
,,,,,,,,,,,,,,,,,,,
2015,1,1,2,0,21.8,0.13,-117,0,19.4,0,0,0,0,85.9,0,998.7,264,1.3,136
,,,,,,,,,,,,,,,,,,,
2015,1,1,3,0,21.3,0.13,-113,0,19.4,0,0,0,0,88.7,0,998.8,269,1.3,122
,,,,,,,,,,,,,,,,,,,
2015,1,1,4,0,21,0.13,-112,0,19.4,0,0,0,0,90.6,0,999.2,272,1.3,109
,,,,,,,,,,,,,,,,,,,
2015,1,1,5,0,20.6,0.13,-113,0,19.4,1,0,0,1,92.6,0,999.6,275,1.3,95
,,,,,,,,,,,,,,,,,,,
2015,1,1,6,0,21.5,0.13,-115,0,19.5,63,87,18,81,88.3,0,1000.2,275,1.3,81
,,,,,,,,,,,,,,,,,,,
2015,1,1,7,0,23.6,0.13,-118,0,19.7,158,315,123,281,78.7,0,1000.8,270,1.1,68
,,,,,,,,,,,,,,,,,,,
2015,1,1,8,0,25.7,0.13,-124,0,19.9,225,481,277,503,70.2,0,1001.3,265,1.1,55
,,,,,,,,,,,,,,,,,,,
2015,1,1,9,0,27.7,0.13,-134,0,19.5,269,574,417,686,61,0,1001.4,259,0.9,43
,,,,,,,,,,,,,,,,,,,
2015,1,1,10,0,29.5,0.13,-151,0,18.5,295,622,514,809,51.5,0,1000.8,251,0.7,34
,,,,,,,,,,,,,,,,,,,
2015,1,1,11,0,31.3,0.13,-175,0,17.4,311,628,544,855,43.6,0,1000.3,235,0.5,30
,,,,,,,,,,,,,,,,,,,
