N/A,Solcast_site_5.615612_6.401852,N/A,0.0,6.4019,5.6156,116
Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Albedo (0-1),Azimuth (degree),cloudopacity (%),Dew-point (C),DHI (W/m^2),DNI (W/m^2),EBH (W/m^2),GHI (W/m^2),GTI fixed tilt (W/m^2),GTI tracking (W/m^2),Lprecip depth (mm),RelativeHumidity (%),SnowDepth (cm),Pressure (mbar),Wdir (degree),Wspd (m/s),Zenith (degree)
01/01/2015,01:00,23.2,0.13,-147,0.0,19.4,0,0,0,0,0,0,32.6,79.3,0.0,999.2,250,1.6,159
01/01/2015,02:00,22.5,0.13,-126,0.0,19.4,0,0,0,0,0,0,32.5,82.6,0.0,998.9,256,1.5,149
01/01/2015,03:00,21.8,0.13,-117,0.0,19.4,0,0,0,0,0,0,32.3,85.9,0.0,998.7,264,1.3,136
01/01/2015,04:00,21.3,0.13,-113,0.0,19.4,0,0,0,0,0,0,32.0,88.7,0.0,998.8,269,1.3,122
01/01/2015,05:00,21.0,0.13,-112,0.0,19.4,0,0,0,0,0,0,31.7,90.6,0.0,999.2,272,1.3,109
01/01/2015,06:00,20.6,0.13,-113,0.0,19.4,1,0,0,1,1,1,31.3,92.6,0.0,999.6,275,1.3,95
01/01/2015,07:00,21.5,0.13,-115,0.0,19.5,63,87,18,81,86,107,31.0,88.3,0.0,1000.2,275,1.3,81
01/01/2015,08:00,23.6,0.13,-118,0.0,19.7,158,315,123,281,300,479,30.8,78.7,0.0,1000.8,270,1.1,68
01/01/2015,09:00,25.7,0.13,-124,0.0,19.9,225,481,277,503,532,695,30.5,70.2,0.0,1001.3,265,1.1,55
01/01/2015,10:00,27.7,0.13,-134,0.0,19.5,269,574,417,686,721,797,30.5,61.0,0.0,1001.4,259,0.9,43
01/01/2015,11:00,29.5,0.13,-151,0.0,18.5,295,622,514,809,847,846,30.7,51.5,0.0,1000.8,251,0.7,34
01/01/2015,12:00,31.3,0.13,-175,0.0,17.4,311,628,544,855,895,859,30.9,43.6,0.0,1000.3,235,0.5,30
01/01/2015,13:00,32.1,0.13,158,0.0,16.7,345,548,464,808,843,827,31.0,39.7,0.0,999.6,204,0.4,32
01/01/2015,14:00,32.1,0.13,139,0.2,16.3,325,496,380,705,737,777,31.1,38.8,0.0,998.8,178,0.5,40
01/01/2015,15:00,31.9,0.13,127,2.0,15.9,294,384,240,534,558,666,31.2,38.0,0.0,997.9,163,0.7,51
01/01/2015,16:00,31.1,0.13,120,0.0,16.2,196,323,147,342,362,528,31.4,40.9,0.0,997.7,164,1.0,63
01/01/2015,17:00,29.4,0.13,116,0.0,17.4,98,138,36,134,143,203,31.6,48.4,0.0,998.2,170,1.4,77
01/01/2015,18:00,27.7,0.13,113,0.0,18.5,11,6,1,12,12,11,31.8,57.4,0.0,998.7,173,1.8,90
01/01/2015,19:00,26.4,0.13,112,0.0,19.3,0,0,0,0,0,0,31.8,65.0,0.0,999.3,176,2.0,104
01/01/2015,20:00,25.5,0.13,113,0.0,19.8,0,0,0,0,0,0,31.7,70.5,0.0,1000.0,180,1.9,118
01/01/2015,21:00,24.6,0.13,115,0.0,20.2,0,0,0,0,0,0,31.6,76.5,0.0,1000.7,184,1.8,131
01/01/2015,22:00,24.0,0.13,122,0.0,20.6,0,0,0,0,0,0,31.5,81.5,0.0,1000.9,191,1.8,145
01/01/2015,23:00,23.6,0.13,137,0.0,21.0,0,0,0,0,0,0,31.3,85.2,0.0,1000.7,202,1.8,156
01/02/2015,00:00,23.3,0.13,173,0.0,21.4,0,0,0,0,0,0,31.2,89.0,0.0,1000.4,212,1.8,163
01/02/2015,01:00,22.9,0.13,-147,0.0,21.6,0,0,0,0,0,0,31.0,92.2,0.0,1000.1,219,1.8,159
01/02/2015,02:00,22.6,0.13,-126,0.0,21.7,0,0,0,0,0,0,30.7,94.8,0.0,999.8,226,1.6,149
01/02/2015,03:00,22.2,0.13,-117,0.0,21.8,0,0,0,0,0,0,30.4,97.4,0.0,999.6,235,1.4,136
01/02/2015,04:00,21.9,0.13,-113,0.0,21.7,0,0,0,0,0,0,30.2,98.9,0.0,999.7,243,1.3,122
01/02/2015,05:00,21.6,0.13,-112,0.0,21.5,0,0,0,0,0,0,30.0,99.2,0.0,1000.1,251,1.3,109
01/02/2015,06:00,21.4,0.13,-113,0.0,21.3,1,1,0,1,1,1,29.8,99.5,0.0,1000.6,259,1.2,95
01/02/2015,07:00,22.1,0.13,-115,0.0,21.3,62,104,21,83,89,113,29.7,95.5,0.0,1001.1,265,1.1,81
01/02/2015,08:00,23.8,0.13,-118,0.0,21.6,152,347,135,287,308,505,29.7,87.9,0.0,1001.6,272,0.8,68
01/02/2015,09:00,25.5,0.13,-124,0.0,22.0,211,526,303,514,545,721,29.8,81.0,0.0,1002.2,285,0.6,55
01/02/2015,10:00,27.2,0.13,-134,0.0,21.7,228,664,482,710,750,835,30.1,71.9,0.0,1002.2,321,0.4,43
01/02/2015,11:00,28.8,0.13,-151,1.5,20.7,260,686,565,826,867,867,30.7,61.5,0.0,1001.6,11,0.5,34
01/02/2015,12:00,30.5,0.13,-175,8.5,19.7,378,502,435,814,846,816,31.4,52.7,0.0,1001.0,34,0.7,30
