PeriodEnd,Period,PvEstimate
2020-09-07T17:00:00Z,PT30M,0.097
2020-09-07T17:30:00Z,PT30M,0.025
2020-09-07T18:00:00Z,PT30M,0
2020-09-07T18:30:00Z,PT30M,0
2020-09-07T19:00:00Z,PT30M,0
2020-09-07T19:30:00Z,PT30M,0
2020-09-07T20:00:00Z,PT30M,0
2020-09-07T20:30:00Z,PT30M,0
2020-09-07T21:00:00Z,PT30M,0
2020-09-07T21:30:00Z,PT30M,0
2020-09-07T22:00:00Z,PT30M,0
2020-09-07T22:30:00Z,PT30M,0
2020-09-07T23:00:00Z,PT30M,0
2020-09-07T23:30:00Z,PT30M,0
2020-09-08,PT30M,0
2020-09-08T00:30:00Z,PT30M,0
2020-09-08T01:00:00Z,PT30M,0
2020-09-08T01:30:00Z,PT30M,0
2020-09-08T02:00:00Z,PT30M,0
2020-09-08T02:30:00Z,PT30M,0
2020-09-08T03:00:00Z,PT30M,0
2020-09-08T03:30:00Z,PT30M,0
2020-09-08T04:00:00Z,PT30M,0
2020-09-08T04:30:00Z,PT30M,0
2020-09-08T05:00:00Z,PT30M,0
2020-09-08T05:30:00Z,PT30M,0
2020-09-08T06:00:00Z,PT30M,0.009
2020-09-08T06:30:00Z,PT30M,0.061
2020-09-08T07:00:00Z,PT30M,0.163
2020-09-08T07:30:00Z,PT30M,0.268
2020-09-08T08:00:00Z,PT30M,0.355
2020-09-08T08:30:00Z,PT30M,0.43
2020-09-08T09:00:00Z,PT30M,0.497
2020-09-08T09:30:00Z,PT30M,0.559
2020-09-08T10:00:00Z,PT30M,0.622
2020-09-08T10:30:00Z,PT30M,0.68
2020-09-08T11:00:00Z,PT30M,0.731
2020-09-08T11:30:00Z,PT30M,0.768
2020-09-08T12:00:00Z,PT30M,0.794
2020-09-08T12:30:00Z,PT30M,0.796
2020-09-08T13:00:00Z,PT30M,0.779
2020-09-08T13:30:00Z,PT30M,0.737
2020-09-08T14:00:00Z,PT30M,0.683
2020-09-08T14:30:00Z,PT30M,0.607
2020-09-08T15:00:00Z,PT30M,0.52
2020-09-08T15:30:00Z,PT30M,0.42
2020-09-08T16:00:00Z,PT30M,0.309
2020-09-08T16:30:00Z,PT30M,0.2
2020-09-08T17:00:00Z,PT30M,0.091
2020-09-08T17:30:00Z,PT30M,0.018
2020-09-08T18:00:00Z,PT30M,0
2020-09-08T18:30:00Z,PT30M,0
2020-09-08T19:00:00Z,PT30M,0
2020-09-08T19:30:00Z,PT30M,0
2020-09-08T20:00:00Z,PT30M,0
2020-09-08T20:30:00Z,PT30M,0
2020-09-08T21:00:00Z,PT30M,0
2020-09-08T21:30:00Z,PT30M,0
2020-09-08T22:00:00Z,PT30M,0
2020-09-08T22:30:00Z,PT30M,0
2020-09-08T23:00:00Z,PT30M,0
2020-09-08T23:30:00Z,PT30M,0
2020-09-09,PT30M,0
2020-09-09T00:30:00Z,PT30M,0
2020-09-09T01:00:00Z,PT30M,0
2020-09-09T01:30:00Z,PT30M,0
2020-09-09T02:00:00Z,PT30M,0
2020-09-09T02:30:00Z,PT30M,0
2020-09-09T03:00:00Z,PT30M,0
2020-09-09T03:30:00Z,PT30M,0
2020-09-09T04:00:00Z,PT30M,0
2020-09-09T04:30:00Z,PT30M,0
2020-09-09T05:00:00Z,PT30M,0
2020-09-09T05:30:00Z,PT30M,0
2020-09-09T06:00:00Z,PT30M,0.008
2020-09-09T06:30:00Z,PT30M,0.055
2020-09-09T07:00:00Z,PT30M,0.159
2020-09-09T07:30:00Z,PT30M,0.272
2020-09-09T08:00:00Z,PT30M,0.382
2020-09-09T08:30:00Z,PT30M,0.487
2020-09-09T09:00:00Z,PT30M,0.584
2020-09-09T09:30:00Z,PT30M,0.665
2020-09-09T10:00:00Z,PT30M,0.735
2020-09-09T10:30:00Z,PT30M,0.795
2020-09-09T11:00:00Z,PT30M,0.833
2020-09-09T11:30:00Z,PT30M,0.856
2020-09-09T12:00:00Z,PT30M,0.853
2020-09-09T12:30:00Z,PT30M,0.836
2020-09-09T13:00:00Z,PT30M,0.805
2020-09-09T13:30:00Z,PT30M,0.76
2020-09-09T14:00:00Z,PT30M,0.702
2020-09-09T14:30:00Z,PT30M,0.634
2020-09-09T15:00:00Z,PT30M,0.553
2020-09-09T15:30:00Z,PT30M,0.453
2020-09-09T16:00:00Z,PT30M,0.344
2020-09-09T16:30:00Z,PT30M,0.228
