Day of Year,Day,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Barometric Pressure (Period),Relative Humidity,Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Average Wind Speed (Period),Power Generated,Month,Year,First Hour of Period
245,1,FALSE,0.859897172,69,29.82,75,28,7.5,0,10,8,0,9,2008,1
245,1,FALSE,0.628534704,69,29.85,77,28,7.5,0,10,5,0,9,2008,4
245,1,TRUE,0.397172237,69,29.89,70,28,7.5,0,10,0,5418,9,2008,7
245,1,TRUE,0.165809769,69,29.91,33,28,7.5,0,10,0,25477,9,2008,10
245,1,TRUE,0.065552699,69,29.89,21,28,7.5,0,10,3,30069,9,2008,13
245,1,TRUE,0.296915167,69,29.85,20,28,7.5,0,10,23,16280,9,2008,16
245,1,TRUE,0.528277635,69,29.83,36,28,7.5,0,10,15,515,9,2008,19
245,1,FALSE,0.759640103,69,29.86,49,28,7.5,0,10,6,0,9,2008,22
246,2,FALSE,0.862113402,72,29.86,67,29,6.8,0,10,6,0,9,2008,1
246,2,FALSE,0.630154639,72,29.87,49,29,6.8,0,10,0,0,9,2008,4
246,2,TRUE,0.398195876,72,29.9,54,29,6.8,0,10,0,4939,9,2008,7
246,2,TRUE,0.166237113,72,29.92,64,29,6.8,0,10,0,24335,9,2008,10
246,2,TRUE,0.065721649,72,29.88,23,29,6.8,0,10,9,29025,9,2008,13
246,2,TRUE,0.297680412,72,29.84,30,29,6.8,0,10,18,15408,9,2008,16
246,2,TRUE,0.529639175,72,29.84,65,29,6.8,0,10,11,491,9,2008,19
246,2,FALSE,0.761597938,72,29.85,75,29,6.8,0,10,5,0,9,2008,22
247,3,FALSE,0.86545925,73,29.84,72,29,7.9,0,10,6,0,9,2008,1
247,3,FALSE,0.632600259,73,29.86,78,29,7.9,0,10,6,0,9,2008,4
247,3,TRUE,0.399741268,73,29.88,63,29,7.9,0,10,0,4854,9,2008,7
247,3,TRUE,0.166882277,73,29.88,69,29,7.9,0,10,3,23855,9,2008,10
247,3,TRUE,0.065976714,73,29.84,33,29,7.9,0,10,10,28339,9,2008,13
247,3,TRUE,0.298835705,73,29.81,27,29,7.9,0,10,20,15308,9,2008,16
247,3,TRUE,0.531694696,73,29.81,53,29,7.9,0,10,14,455,9,2008,19
247,3,FALSE,0.764553687,73,29.85,70,29,7.9,0,10,6,0,9,2008,22
248,4,FALSE,0.86770428,76,29.83,73,30,6.9,0,10,0,0,9,2008,1
248,4,FALSE,0.634241245,76,29.82,78,30,6.9,0,10,6,0,9,2008,4
248,4,TRUE,0.40077821,76,29.84,70,30,6.9,0,10,0,4750,9,2008,7
248,4,TRUE,0.167315175,76,29.85,64,30,6.9,0,10,3,23555,9,2008,10
248,4,TRUE,0.06614786,76,29.79,62,30,6.9,0,10,6,27741,9,2008,13
248,4,TRUE,0.299610895,76,29.75,30,30,6.9,0,10,15,14917,9,2008,16
248,4,TRUE,0.53307393,76,29.74,27,30,6.9,0,10,17,429,9,2008,19
248,4,FALSE,0.766536965,76,29.77,33,30,6.9,0,10,5,0,9,2008,22
249,5,FALSE,0.869791667,77,29.77,53,29,8.5,0,10,3,0,9,2008,1
249,5,FALSE,0.635416667,77,29.76,70,29,8.5,0,10,7,0,9,2008,4
249,5,TRUE,0.401041667,77,29.8,61,29,8.5,0,10,0,4804,9,2008,7
249,5,TRUE,0.166666667,77,29.82,64,29,8.5,0,10,3,23551,9,2008,10
249,5,TRUE,0.067708333,77,29.78,49,29,8.5,0,10,5,27963,9,2008,13
249,5,TRUE,0.302083333,77,29.75,19,29,8.5,0,10,22,14980,9,2008,16
249,5,TRUE,0.536458333,77,29.76,51,29,8.5,0,10,15,423,9,2008,19
249,5,FALSE,0.770833333,77,29.79,37,29,8.5,0,10,8,0,9,2008,22
250,6,FALSE,0.870925684,75,29.78,57,30,8.6,1,10,6,0,9,2008,1
250,6,FALSE,0.636245111,75,29.78,73,30,8.6,1,10,3,0,9,2008,4
250,6,TRUE,0.401564537,75,29.81,52,30,8.6,1,10,3,4562,9,2008,7
250,6,TRUE,0.166883963,75,29.82,66,30,8.6,1,10,3,22761,9,2008,10
250,6,TRUE,0.06779661,75,29.79,29,30,8.6,0,10,16,28193,9,2008,13
250,6,TRUE,0.302477184,75,29.75,39,30,8.6,0,10,18,14835,9,2008,16
250,6,TRUE,0.537157757,75,29.74,57,30,8.6,0,10,14,375,9,2008,19
250,6,FALSE,0.771838331,75,29.76,65,30,8.6,0,10,8,0,9,2008,22
251,7,FALSE,0.873036649,62,29.76,81,29,14.9,1,10,8,0,9,2008,1
251,7,FALSE,0.637434555,62,29.74,87,29,14.9,1,10,7,0,9,2008,4
251,7,TRUE,0.401832461,62,29.76,84,29,14.9,1,10,8,2963,9,2008,7
251,7,TRUE,0.166230366,62,29.77,68,29,14.9,1,10,14,24553,9,2008,10
251,7,TRUE,0.069371728,62,29.73,61,29,14.9,1,10,22,29986,9,2008,13
251,7,TRUE,0.304973822,62,29.71,70,29,14.9,1,10,25,15403,9,2008,16
251,7,TRUE,0.540575916,62,29.73,87,29,14.9,1,10,22,379,9,2008,19
251,7,FALSE,0.77617801,62,29.75,90,29,14.9,1,10,13,0,9,2008,22
252,8,FALSE,0.875328084,64,29.76,90,31,5.8,3,10,7,0,9,2008,1
252,8,FALSE,0.639107612,64,29.75,87,31,5.8,4,10,5,0,9,2008,4
252,8,TRUE,0.402887139,64,29.77,87,31,5.8,4,9,0,249,9,2008,7
252,8,TRUE,0.166666667,64,29.78,73,31,5.8,1,9,5,9910,9,2008,10
252,8,TRUE,0.069553806,64,29.75,59,31,5.8,1,10,10,28515,9,2008,13
252,8,TRUE,0.305774278,64,29.7,61,31,5.8,1,10,14,17490,9,2008,16
252,8,TRUE,0.541994751,64,29.72,73,31,5.8,1,10,6,773,9,2008,19
252,8,FALSE,0.778215223,64,29.75,87,31,5.8,1,10,6,0,9,2008,22
253,9,FALSE,0.878787879,63,29.76,84,21,10.5,3,10,7,0,9,2008,1
253,9,FALSE,0.641633729,63,29.75,78,21,10.5,3,10,7,0,9,2008,4
253,9,TRUE,0.404479578,63,29.78,81,21,10.5,4,10,8,65,9,2008,7
253,9,TRUE,0.167325428,63,29.8,73,21,10.5,4,10,5,5219,9,2008,10
253,9,TRUE,0.069828722,63,29.76,63,21,10.5,1,10,15,10789,9,2008,13
253,9,TRUE,0.306982872,63,29.74,68,21,10.5,1,10,20,5208,9,2008,16
253,9,TRUE,0.544137022,63,29.74,78,21,10.5,1,10,7,60,9,2008,19
253,9,FALSE,0.781291173,63,29.76,81,21,10.5,3,10,13,0,9,2008,22
254,10,FALSE,0.880952381,64,29.76,81,28,9.7,3,10,7,0,9,2008,1
254,10,FALSE,0.642857143,64,29.77,81,28,9.7,4,10,7,0,9,2008,4
254,10,TRUE,0.404761905,64,29.8,78,28,9.7,4,10,7,1346,9,2008,7
254,10,TRUE,0.166666667,64,29.84,68,28,9.7,3,10,3,18380,9,2008,10
254,10,TRUE,0.071428571,64,29.81,59,28,9.7,1,10,16,28891,9,2008,13
254,10,TRUE,0.30952381,64,29.8,63,28,9.7,1,10,18,14687,9,2008,16
254,10,TRUE,0.547619048,64,29.82,81,28,9.7,1,10,15,345,9,2008,19
254,10,FALSE,0.785714286,64,29.85,84,28,9.7,1,10,8,0,9,2008,22
255,11,FALSE,0.883289125,61,29.85,87,29,11.4,2,10,10,0,9,2008,1
255,11,FALSE,0.644562334,61,29.85,87,29,11.4,4,10,3,0,9,2008,4
255,11,TRUE,0.405835544,61,29.87,84,29,11.4,4,8,3,292,9,2008,7
255,11,TRUE,0.167108753,61,29.87,73,29,11.4,2,10,3,10767,9,2008,10
255,11,TRUE,0.071618037,61,29.84,68,29,11.4,1,10,21,27641,9,2008,13
255,11,TRUE,0.310344828,61,29.81,75,29,11.4,1,10,23,13835,9,2008,16
255,11,TRUE,0.549071618,61,29.83,87,29,11.4,1,10,18,145,9,2008,19
255,11,FALSE,0.787798408,61,29.86,87,29,11.4,1,10,10,0,9,2008,22
256,12,FALSE,0.886817577,60,29.87,90,28,11.7,3,10,13,0,9,2008,1
256,12,FALSE,0.64713715,60,29.87,83,28,11.7,3,10,8,0,9,2008,4
256,12,TRUE,0.407456724,60,29.9,86,28,11.7,4,10,5,229,9,2008,7
256,12,TRUE,0.167776298,60,29.93,81,28,11.7,4,9,7,4349,9,2008,10
256,12,TRUE,0.071904128,60,29.88,68,28,11.7,1,10,16,19126,9,2008,13
256,12,TRUE,0.311584554,60,29.85,73,28,11.7,1,10,21,14692,9,2008,16
256,12,TRUE,0.55126498,60,29.88,80,28,11.7,3,10,13,436,9,2008,19
256,12,FALSE,0.790945406,60,29.9,86,28,11.7,3,10,9,0,9,2008,22
257,13,FALSE,0.886666667,61,29.9,80,29,9,3,10,8,0,9,2008,1
257,13,FALSE,0.646666667,61,29.87,80,29,9,4,10,6,0,9,2008,4
257,13,TRUE,0.406666667,61,29.9,83,29,9,4,10,5,408,9,2008,7
257,13,TRUE,0.166666667,61,29.93,72,29,9,4,10,3,11376,9,2008,10
257,13,TRUE,0.073333333,61,29.89,61,29,9,2,10,16,28611,9,2008,13
257,13,TRUE,0.313333333,61,29.86,65,29,9,2,10,17,14587,9,2008,16
257,13,TRUE,0.553333333,61,29.89,81,29,9,1,10,14,239,9,2008,19
257,13,FALSE,0.793333333,61,29.93,83,29,9,1,10,7,0,9,2008,22
258,14,FALSE,0.890227577,62,29.94,83,29,10.1,4,10,5,0,9,2008,1
258,14,FALSE,0.649263722,62,29.94,87,29,10.1,4,10,3,0,9,2008,4
258,14,TRUE,0.408299866,62,29.97,84,29,10.1,4,10,5,250,9,2008,7
258,14,TRUE,0.167336011,62,30,73,29,10.1,3,9,7,15149,9,2008,10
258,14,TRUE,0.073627845,62,29.96,63,29,10.1,1,10,15,28581,9,2008,13
258,14,TRUE,0.3145917,62,29.94,68,29,10.1,1,10,21,13787,9,2008,16
258,14,TRUE,0.555555556,62,29.97,78,29,10.1,1,10,18,218,9,2008,19
258,14,FALSE,0.796519411,62,29.99,83,29,10.1,1,10,13,0,9,2008,22
259,15,FALSE,0.89261745,60,29.99,86,28,12.6,3,10,9,0,9,2008,1
259,15,FALSE,0.651006711,60,29.97,87,28,12.6,4,10,7,0,9,2008,4
259,15,TRUE,0.409395973,60,30.01,90,28,12.6,4,7,7,413,9,2008,7
259,15,TRUE,0.167785235,60,30.01,78,28,12.6,3,7,5,17412,9,2008,10
259,15,TRUE,0.073825503,60,29.95,63,28,12.6,1,10,16,28239,9,2008,13
259,15,TRUE,0.315436242,60,29.92,70,28,12.6,1,10,22,13397,9,2008,16
259,15,TRUE,0.55704698,60,29.94,83,28,12.6,1,10,18,193,9,2008,19
259,15,FALSE,0.798657718,60,29.96,90,28,12.6,1,10,13,0,9,2008,22
260,16,FALSE,0.894878706,59,29.97,90,28,12.7,2,10,11,0,9,2008,1
260,16,FALSE,0.652291105,59,29.96,83,28,12.7,3,10,9,0,9,2008,4
260,16,TRUE,0.409703504,59,29.97,83,28,12.7,4,9,9,685,9,2008,7
260,16,TRUE,0.167115903,59,29.98,72,28,12.7,3,10,7,16170,9,2008,10
260,16,TRUE,0.075471698,59,29.94,63,28,12.7,1,10,21,28148,9,2008,13
260,16,TRUE,0.318059299,59,29.92,67,28,12.7,2,10,20,13455,9,2008,16
260,16,TRUE,0.5606469,59,29.95,80,28,12.7,1,10,14,198,9,2008,19
260,16,FALSE,0.803234501,59,29.99,78,28,12.7,2,10,11,0,9,2008,22
261,17,FALSE,0.897297297,62,30,75,24,9.6,4,10,10,0,9,2008,1
261,17,FALSE,0.654054054,62,29.99,72,24,9.6,4,10,7,0,9,2008,4
261,17,TRUE,0.410810811,62,30.03,70,24,9.6,4,10,3,332,9,2008,7
261,17,TRUE,0.167567568,62,30.07,63,24,9.6,4,10,10,5866,9,2008,10
261,17,TRUE,0.075675676,62,30.04,52,24,9.6,2,10,10,22094,9,2008,13
261,17,TRUE,0.318918919,62,30.01,54,24,9.6,0,10,17,13893,9,2008,16
261,17,TRUE,0.562162162,62,30,70,24,9.6,0,10,9,154,9,2008,19
261,17,FALSE,0.805405405,62,30.01,72,24,9.6,0,10,6,0,9,2008,22
262,18,FALSE,0.900949796,60,30.01,78,26,7.9,1,10,6,0,9,2008,1
262,18,FALSE,0.656716418,60,29.99,86,26,7.9,1,10,0,0,9,2008,4
262,18,TRUE,0.412483039,60,30.02,83,26,7.9,1,10,0,4342,9,2008,7
262,18,TRUE,0.168249661,60,30.05,56,26,7.9,1,10,10,24175,9,2008,10
